model,variant,C,p_star_kind,kind,condition,bin,n,share,n_all,share_all
M2,main,C50,pstar,all,optype,k1,5,0.09803921568627451,5,0.09803921568627451
M2,main,C50,pstar,all,optype,k2,8,0.1568627450980392,8,0.1568627450980392
M2,main,C50,pstar,all,optype,k3,24,0.47058823529411764,24,0.47058823529411764
M2,main,C50,pstar,FN,prev_day_max,q1,1,0.3333333333333333,8,0.1568627450980392
M2,main,C50,pstar,FN,prev_day_max,q2,2,0.6666666666666666,16,0.3137254901960784
M2,main,C50,pstar,FN,prev_day_max,q3,0,0.0,12,0.23529411764705882
M2,main,C50,pstar,FN,prev_day_max,q4,0,0.0,12,0.23529411764705882
M2,main,C50,pstar,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
M2,main,C50,pstar,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
M2,main,C50,pstar,FP,prev_day_max,q2,0,0.0,16,0.3137254901960784
M2,main,C50,pstar,FP,prev_day_max,q3,1,1.0,12,0.23529411764705882
M2,main,C50,pstar,FP,prev_day_max,q4,0,0.0,12,0.23529411764705882
M2,main,C50,pstar,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
M2,main,C50,pstar,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
M2,main,C50,pstar,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
M2,main,C50,pstar,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
M2,main,C50,pstar,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
M2,main,C50,pstar,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
M2,main,C50,pstar,FN,prod_sum,q2,2,0.6666666666666666,25,0.49019607843137253
M2,main,C50,pstar,FN,prod_sum,q3,1,0.3333333333333333,13,0.2549019607843137
M2,main,C50,pstar,FN,prod_sum,q4,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FP,prod_sum,q2,0,0.0,25,0.49019607843137253
M2,main,C50,pstar,FP,prod_sum,q3,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FP,prod_sum,q4,1,1.0,13,0.2549019607843137
M2,main,C50,pstar,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
M2,main,C50,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,FN,temp_mean,q1,1,0.3333333333333333,13,0.2549019607843137
M2,main,C50,pstar,FN,temp_mean,q2,2,0.6666666666666666,12,0.23529411764705882
M2,main,C50,pstar,FN,temp_mean,q3,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FN,temp_mean,q4,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FP,temp_mean,q1,1,1.0,13,0.2549019607843137
M2,main,C50,pstar,FP,temp_mean,q2,0,0.0,12,0.23529411764705882
M2,main,C50,pstar,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,FP,temp_mean,q4,0,0.0,13,0.2549019607843137
M2,main,C50,pstar,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
M2,main,C50,pstar,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C50,pstar,FN,weekday,Fri,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FN,weekday,Mon,3,1.0,8,0.1568627450980392
M2,main,C50,pstar,FN,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FN,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FN,weekday,Thu,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FN,weekday,Tue,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FN,weekday,Wed,0,0.0,8,0.1568627450980392
M2,main,C50,pstar,FP,weekday,Fri,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,weekday,Mon,0,0.0,8,0.1568627450980392
M2,main,C50,pstar,FP,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,weekday,Thu,0,0.0,7,0.13725490196078433
M2,main,C50,pstar,FP,weekday,Tue,1,1.0,7,0.13725490196078433
M2,main,C50,pstar,FP,weekday,Wed,0,0.0,8,0.1568627450980392
M2,main,C50,pstar,all,weekday,Fri,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,weekday,Mon,8,0.1568627450980392,8,0.1568627450980392
M2,main,C50,pstar,all,weekday,Sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,weekday,Sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,weekday,Thu,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,weekday,Tue,7,0.13725490196078433,7,0.13725490196078433
M2,main,C50,pstar,all,weekday,Wed,8,0.1568627450980392,8,0.1568627450980392
M2,main,C75,pstar,FN,daytype,sat,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FN,daytype,sun,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FN,daytype,wk,8,1.0,37,0.7254901960784313
M2,main,C75,pstar,FP,daytype,sat,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FP,daytype,sun,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FP,daytype,wk,3,1.0,37,0.7254901960784313
M2,main,C75,pstar,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
M2,main,C75,pstar,FN,month,07,3,0.375,22,0.43137254901960786
M2,main,C75,pstar,FN,month,08,5,0.625,29,0.5686274509803921
M2,main,C75,pstar,FP,month,07,0,0.0,22,0.43137254901960786
M2,main,C75,pstar,FP,month,08,3,1.0,29,0.5686274509803921
M2,main,C75,pstar,all,month,07,22,0.43137254901960786,22,0.43137254901960786
M2,main,C75,pstar,all,month,08,29,0.5686274509803921,29,0.5686274509803921
M2,main,C75,pstar,FN,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,FN,op_next,1,8,1.0,38,0.7450980392156863
M2,main,C75,pstar,FP,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,FP,op_next,1,3,1.0,38,0.7450980392156863
M2,main,C75,pstar,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
M2,main,C75,pstar,FN,op_prev,0,3,0.375,15,0.29411764705882354
M2,main,C75,pstar,FN,op_prev,1,5,0.625,36,0.7058823529411765
M2,main,C75,pstar,FP,op_prev,0,0,0.0,15,0.29411764705882354
M2,main,C75,pstar,FP,op_prev,1,3,1.0,36,0.7058823529411765
M2,main,C75,pstar,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
M2,main,C75,pstar,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
M2,main,C75,pstar,FN,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C75,pstar,FN,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C75,pstar,FN,optype,k2,4,0.5,8,0.1568627450980392
M2,main,C75,pstar,FN,optype,k3,4,0.5,24,0.47058823529411764
M2,main,C75,pstar,FP,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C75,pstar,FP,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C75,pstar,FP,optype,k2,0,0.0,8,0.1568627450980392
M2,main,C75,pstar,FP,optype,k3,3,1.0,24,0.47058823529411764
M2,main,C75,pstar,all,optype,k0,14,0.27450980392156865,14,0.27450980392156865
M2,main,C75,pstar,all,optype,k1,5,0.09803921568627451,5,0.09803921568627451
M2,main,C75,pstar,all,optype,k2,8,0.1568627450980392,8,0.1568627450980392
M2,main,C75,pstar,all,optype,k3,24,0.47058823529411764,24,0.47058823529411764
M2,main,C75,pstar,FN,prev_day_max,q1,1,0.125,8,0.1568627450980392
M2,main,C75,pstar,FN,prev_day_max,q2,2,0.25,16,0.3137254901960784
M2,main,C75,pstar,FN,prev_day_max,q3,5,0.625,12,0.23529411764705882
M2,main,C75,pstar,FN,prev_day_max,q4,0,0.0,12,0.23529411764705882
M2,main,C75,pstar,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
M2,main,C75,pstar,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
M2,main,C75,pstar,FP,prev_day_max,q2,1,0.3333333333333333,16,0.3137254901960784
M2,main,C75,pstar,FP,prev_day_max,q3,1,0.3333333333333333,12,0.23529411764705882
M2,main,C75,pstar,FP,prev_day_max,q4,1,0.3333333333333333,12,0.23529411764705882
M2,main,C75,pstar,FP,prev_day_max,unknown,0,0.0,3,0.058823529411764705
M2,main,C75,pstar,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
M2,main,C75,pstar,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
M2,main,C75,pstar,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
M2,main,C75,pstar,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
M2,main,C75,pstar,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
M2,main,C75,pstar,FN,prod_sum,q2,2,0.25,25,0.49019607843137253
M2,main,C75,pstar,FN,prod_sum,q3,6,0.75,13,0.2549019607843137
M2,main,C75,pstar,FN,prod_sum,q4,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,FP,prod_sum,q2,0,0.0,25,0.49019607843137253
M2,main,C75,pstar,FP,prod_sum,q3,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,FP,prod_sum,q4,3,1.0,13,0.2549019607843137
M2,main,C75,pstar,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
M2,main,C75,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,FN,temp_mean,q1,1,0.125,13,0.2549019607843137
M2,main,C75,pstar,FN,temp_mean,q2,3,0.375,12,0.23529411764705882
M2,main,C75,pstar,FN,temp_mean,q3,2,0.25,13,0.2549019607843137
M2,main,C75,pstar,FN,temp_mean,q4,2,0.25,13,0.2549019607843137
M2,main,C75,pstar,FP,temp_mean,q1,1,0.3333333333333333,13,0.2549019607843137
M2,main,C75,pstar,FP,temp_mean,q2,2,0.6666666666666666,12,0.23529411764705882
M2,main,C75,pstar,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,FP,temp_mean,q4,0,0.0,13,0.2549019607843137
M2,main,C75,pstar,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
M2,main,C75,pstar,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C75,pstar,FN,weekday,Fri,2,0.25,7,0.13725490196078433
M2,main,C75,pstar,FN,weekday,Mon,3,0.375,8,0.1568627450980392
M2,main,C75,pstar,FN,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FN,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FN,weekday,Thu,1,0.125,7,0.13725490196078433
M2,main,C75,pstar,FN,weekday,Tue,1,0.125,7,0.13725490196078433
M2,main,C75,pstar,FN,weekday,Wed,1,0.125,8,0.1568627450980392
M2,main,C75,pstar,FP,weekday,Fri,1,0.3333333333333333,7,0.13725490196078433
M2,main,C75,pstar,FP,weekday,Mon,0,0.0,8,0.1568627450980392
M2,main,C75,pstar,FP,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FP,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FP,weekday,Thu,1,0.3333333333333333,7,0.13725490196078433
M2,main,C75,pstar,FP,weekday,Tue,0,0.0,7,0.13725490196078433
M2,main,C75,pstar,FP,weekday,Wed,1,0.3333333333333333,8,0.1568627450980392
M2,main,C75,pstar,all,weekday,Fri,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,weekday,Mon,8,0.1568627450980392,8,0.1568627450980392
M2,main,C75,pstar,all,weekday,Sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,weekday,Sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,weekday,Thu,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,weekday,Tue,7,0.13725490196078433,7,0.13725490196078433
M2,main,C75,pstar,all,weekday,Wed,8,0.1568627450980392,8,0.1568627450980392
M2,main,C90,pstar,FN,daytype,sat,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FN,daytype,sun,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FN,daytype,wk,9,1.0,37,0.7254901960784313
M2,main,C90,pstar,FP,daytype,sat,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FP,daytype,sun,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FP,daytype,wk,8,1.0,37,0.7254901960784313
M2,main,C90,pstar,all,daytype,sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,daytype,sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,daytype,wk,37,0.7254901960784313,37,0.7254901960784313
M2,main,C90,pstar,FN,month,07,7,0.7777777777777778,22,0.43137254901960786
M2,main,C90,pstar,FN,month,08,2,0.2222222222222222,29,0.5686274509803921
M2,main,C90,pstar,FP,month,07,3,0.375,22,0.43137254901960786
M2,main,C90,pstar,FP,month,08,5,0.625,29,0.5686274509803921
M2,main,C90,pstar,all,month,07,22,0.43137254901960786,22,0.43137254901960786
M2,main,C90,pstar,all,month,08,29,0.5686274509803921,29,0.5686274509803921
M2,main,C90,pstar,FN,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C90,pstar,FN,op_next,1,9,1.0,38,0.7450980392156863
M2,main,C90,pstar,FP,op_next,0,0,0.0,13,0.2549019607843137
M2,main,C90,pstar,FP,op_next,1,8,1.0,38,0.7450980392156863
M2,main,C90,pstar,all,op_next,0,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,all,op_next,1,38,0.7450980392156863,38,0.7450980392156863
M2,main,C90,pstar,FN,op_prev,0,3,0.3333333333333333,15,0.29411764705882354
M2,main,C90,pstar,FN,op_prev,1,6,0.6666666666666666,36,0.7058823529411765
M2,main,C90,pstar,FP,op_prev,0,0,0.0,15,0.29411764705882354
M2,main,C90,pstar,FP,op_prev,1,8,1.0,36,0.7058823529411765
M2,main,C90,pstar,all,op_prev,0,15,0.29411764705882354,15,0.29411764705882354
M2,main,C90,pstar,all,op_prev,1,36,0.7058823529411765,36,0.7058823529411765
M2,main,C90,pstar,FN,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C90,pstar,FN,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C90,pstar,FN,optype,k2,3,0.3333333333333333,8,0.1568627450980392
M2,main,C90,pstar,FN,optype,k3,6,0.6666666666666666,24,0.47058823529411764
M2,main,C90,pstar,FP,optype,k0,0,0.0,14,0.27450980392156865
M2,main,C90,pstar,FP,optype,k1,0,0.0,5,0.09803921568627451
M2,main,C90,pstar,FP,optype,k2,1,0.125,8,0.1568627450980392
M2,main,C90,pstar,FP,optype,k3,7,0.875,24,0.47058823529411764
M2,main,C90,pstar,all,optype,k0,14,0.27450980392156865,14,0.27450980392156865
M2,main,C90,pstar,all,optype,k1,5,0.09803921568627451,5,0.09803921568627451
M2,main,C90,pstar,all,optype,k2,8,0.1568627450980392,8,0.1568627450980392
M2,main,C90,pstar,all,optype,k3,24,0.47058823529411764,24,0.47058823529411764
M2,main,C90,pstar,FN,prev_day_max,q1,1,0.1111111111111111,8,0.1568627450980392
M2,main,C90,pstar,FN,prev_day_max,q2,2,0.2222222222222222,16,0.3137254901960784
M2,main,C90,pstar,FN,prev_day_max,q3,2,0.2222222222222222,12,0.23529411764705882
M2,main,C90,pstar,FN,prev_day_max,q4,4,0.4444444444444444,12,0.23529411764705882
M2,main,C90,pstar,FN,prev_day_max,unknown,0,0.0,3,0.058823529411764705
M2,main,C90,pstar,FP,prev_day_max,q1,0,0.0,8,0.1568627450980392
M2,main,C90,pstar,FP,prev_day_max,q2,3,0.375,16,0.3137254901960784
M2,main,C90,pstar,FP,prev_day_max,q3,3,0.375,12,0.23529411764705882
M2,main,C90,pstar,FP,prev_day_max,q4,0,0.0,12,0.23529411764705882
M2,main,C90,pstar,FP,prev_day_max,unknown,2,0.25,3,0.058823529411764705
M2,main,C90,pstar,all,prev_day_max,q1,8,0.1568627450980392,8,0.1568627450980392
M2,main,C90,pstar,all,prev_day_max,q2,16,0.3137254901960784,16,0.3137254901960784
M2,main,C90,pstar,all,prev_day_max,q3,12,0.23529411764705882,12,0.23529411764705882
M2,main,C90,pstar,all,prev_day_max,q4,12,0.23529411764705882,12,0.23529411764705882
M2,main,C90,pstar,all,prev_day_max,unknown,3,0.058823529411764705,3,0.058823529411764705
M2,main,C90,pstar,FN,prod_sum,q2,1,0.1111111111111111,25,0.49019607843137253
M2,main,C90,pstar,FN,prod_sum,q3,3,0.3333333333333333,13,0.2549019607843137
M2,main,C90,pstar,FN,prod_sum,q4,5,0.5555555555555556,13,0.2549019607843137
M2,main,C90,pstar,FP,prod_sum,q2,1,0.125,25,0.49019607843137253
M2,main,C90,pstar,FP,prod_sum,q3,3,0.375,13,0.2549019607843137
M2,main,C90,pstar,FP,prod_sum,q4,4,0.5,13,0.2549019607843137
M2,main,C90,pstar,all,prod_sum,q2,25,0.49019607843137253,25,0.49019607843137253
M2,main,C90,pstar,all,prod_sum,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,all,prod_sum,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,FN,temp_mean,q1,0,0.0,13,0.2549019607843137
M2,main,C90,pstar,FN,temp_mean,q2,2,0.2222222222222222,12,0.23529411764705882
M2,main,C90,pstar,FN,temp_mean,q3,5,0.5555555555555556,13,0.2549019607843137
M2,main,C90,pstar,FN,temp_mean,q4,2,0.2222222222222222,13,0.2549019607843137
M2,main,C90,pstar,FP,temp_mean,q1,4,0.5,13,0.2549019607843137
M2,main,C90,pstar,FP,temp_mean,q2,2,0.25,12,0.23529411764705882
M2,main,C90,pstar,FP,temp_mean,q3,0,0.0,13,0.2549019607843137
M2,main,C90,pstar,FP,temp_mean,q4,2,0.25,13,0.2549019607843137
M2,main,C90,pstar,all,temp_mean,q1,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,all,temp_mean,q2,12,0.23529411764705882,12,0.23529411764705882
M2,main,C90,pstar,all,temp_mean,q3,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,all,temp_mean,q4,13,0.2549019607843137,13,0.2549019607843137
M2,main,C90,pstar,FN,weekday,Fri,1,0.1111111111111111,7,0.13725490196078433
M2,main,C90,pstar,FN,weekday,Mon,3,0.3333333333333333,8,0.1568627450980392
M2,main,C90,pstar,FN,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FN,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FN,weekday,Thu,1,0.1111111111111111,7,0.13725490196078433
M2,main,C90,pstar,FN,weekday,Tue,1,0.1111111111111111,7,0.13725490196078433
M2,main,C90,pstar,FN,weekday,Wed,3,0.3333333333333333,8,0.1568627450980392
M2,main,C90,pstar,FP,weekday,Fri,3,0.375,7,0.13725490196078433
M2,main,C90,pstar,FP,weekday,Mon,0,0.0,8,0.1568627450980392
M2,main,C90,pstar,FP,weekday,Sat,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FP,weekday,Sun,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FP,weekday,Thu,2,0.25,7,0.13725490196078433
M2,main,C90,pstar,FP,weekday,Tue,0,0.0,7,0.13725490196078433
M2,main,C90,pstar,FP,weekday,Wed,3,0.375,8,0.1568627450980392
M2,main,C90,pstar,all,weekday,Fri,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,weekday,Mon,8,0.1568627450980392,8,0.1568627450980392
M2,main,C90,pstar,all,weekday,Sat,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,weekday,Sun,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,weekday,Thu,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,weekday,Tue,7,0.13725490196078433,7,0.13725490196078433
M2,main,C90,pstar,all,weekday,Wed,8,0.1568627450980392,8,0.1568627450980392
